open,high,low,close,volume,timestamp,date
591.0,606.55,582.0,583.55,1201834.0,2025-11-02 18:30:00,2025-11-02 18:30:00
584.0,592.5,578.1,579.7,638595.0,2025-11-03 18:30:00,2025-11-03 18:30:00
582.3,583.2,555.05,556.65,788256.0,2025-11-05 18:30:00,2025-11-05 18:30:00
556.0,557.0,544.0,549.5,501238.0,2025-11-06 18:30:00,2025-11-06 18:30:00
550.7,555.25,511.05,519.3,1530693.0,2025-11-09 18:30:00,2025-11-09 18:30:00
540.0,581.7,527.0,531.8,25128586.0,2025-11-10 18:30:00,2025-11-10 18:30:00
535.5,538.8,520.35,522.15,2008269.0,2025-11-11 18:30:00,2025-11-11 18:30:00
525.3,529.8,514.0,515.25,1101604.0,2025-11-12 18:30:00,2025-11-12 18:30:00
516.0,521.6,513.6,515.9,745163.0,2025-11-13 18:30:00,2025-11-13 18:30:00
515.0,517.9,505.75,511.0,913203.0,2025-11-16 18:30:00,2025-11-16 18:30:00
510.0,524.45,505.6,516.95,1686317.0,2025-11-17 18:30:00,2025-11-17 18:30:00
518.7,523.4,511.05,520.1,792713.0,2025-11-18 18:30:00,2025-11-18 18:30:00
522.0,527.8,511.0,513.45,633493.0,2025-11-19 18:30:00,2025-11-19 18:30:00
513.95,515.55,501.7,503.45,600067.0,2025-11-20 18:30:00,2025-11-20 18:30:00
504.0,504.55,490.95,496.9,512293.0,2025-11-23 18:30:00,2025-11-23 18:30:00
499.0,532.9,492.75,525.4,7623207.0,2025-11-24 18:30:00,2025-11-24 18:30:00
524.0,550.0,517.45,547.65,3789827.0,2025-11-25 18:30:00,2025-11-25 18:30:00
545.2,547.0,532.0,533.75,934920.0,2025-11-26 18:30:00,2025-11-26 18:30:00
534.0,534.3,526.3,527.7,523992.0,2025-11-27 18:30:00,2025-11-27 18:30:00
527.7,533.3,520.25,522.1,614805.0,2025-11-30 18:30:00,2025-11-30 18:30:00
522.0,526.75,518.1,520.0,418530.0,2025-12-01 18:30:00,2025-12-01 18:30:00
522.0,526.6,518.65,523.7,393083.0,2025-12-02 18:30:00,2025-12-02 18:30:00
524.0,535.55,522.0,523.1,883365.0,2025-12-03 18:30:00,2025-12-03 18:30:00
523.3,527.7,515.1,520.5,477245.0,2025-12-04 18:30:00,2025-12-04 18:30:00
521.05,526.45,513.6,521.3,475124.0,2025-12-07 18:30:00,2025-12-07 18:30:00
521.0,538.5,510.75,536.75,1009924.0,2025-12-08 18:30:00,2025-12-08 18:30:00
535.5,548.1,535.5,547.1,987318.0,2025-12-09 18:30:00,2025-12-09 18:30:00
550.55,558.0,532.0,533.25,1166624.0,2025-12-10 18:30:00,2025-12-10 18:30:00
533.6,539.8,532.1,534.5,435141.0,2025-12-11 18:30:00,2025-12-11 18:30:00
535.0,548.3,532.05,535.65,883594.0,2025-12-14 18:30:00,2025-12-14 18:30:00
535.7,538.6,529.85,534.0,269431.0,2025-12-15 18:30:00,2025-12-15 18:30:00
535.0,535.3,525.0,526.25,265847.0,2025-12-16 18:30:00,2025-12-16 18:30:00
525.95,529.05,520.0,520.5,233169.0,2025-12-17 18:30:00,2025-12-17 18:30:00
523.9,531.9,521.25,530.2,345772.0,2025-12-18 18:30:00,2025-12-18 18:30:00
531.4,536.85,528.35,530.05,459583.0,2025-12-21 18:30:00,2025-12-21 18:30:00
531.1,548.8,530.0,539.0,1296360.0,2025-12-22 18:30:00,2025-12-22 18:30:00
541.25,564.45,541.25,550.55,3443683.0,2025-12-23 18:30:00,2025-12-23 18:30:00
550.55,571.0,546.8,559.8,1784193.0,2025-12-25 18:30:00,2025-12-25 18:30:00
562.4,606.45,560.4,600.25,9747732.0,2025-12-28 18:30:00,2025-12-28 18:30:00
594.0,605.0,572.0,600.7,4714980.0,2025-12-29 18:30:00,2025-12-29 18:30:00
601.95,672.0,597.25,623.85,25491810.0,2025-12-30 18:30:00,2025-12-30 18:30:00
626.0,638.0,615.5,624.15,4891684.0,2025-12-31 18:30:00,2025-12-31 18:30:00
624.2,627.7,606.85,619.7,2483233.0,2026-01-01 18:30:00,2026-01-01 18:30:00
623.8,634.8,617.0,620.3,2213242.0,2026-01-04 18:30:00,2026-01-04 18:30:00
625.2,644.9,617.25,637.5,4994967.0,2026-01-05 18:30:00,2026-01-05 18:30:00
637.0,637.2,613.0,618.55,1542944.0,2026-01-06 18:30:00,2026-01-06 18:30:00
615.0,616.2,595.2,599.0,1539210.0,2026-01-07 18:30:00,2026-01-07 18:30:00
594.9,603.7,572.5,574.55,1318109.0,2026-01-08 18:30:00,2026-01-08 18:30:00
577.0,583.15,562.05,569.6,1114732.0,2026-01-11 18:30:00,2026-01-11 18:30:00
580.0,584.65,536.0,550.7,2533772.0,2026-01-12 18:30:00,2026-01-12 18:30:00
554.0,584.45,550.75,565.0,5548142.0,2026-01-13 18:30:00,2026-01-13 18:30:00
567.0,584.2,565.1,577.25,1838911.0,2026-01-15 18:30:00,2026-01-15 18:30:00
577.0,594.8,571.85,583.35,1754272.0,2026-01-18 18:30:00,2026-01-18 18:30:00
589.0,589.0,554.0,558.75,1420779.0,2026-01-19 18:30:00,2026-01-19 18:30:00
554.95,563.85,543.7,547.75,1745041.0,2026-01-20 18:30:00,2026-01-20 18:30:00
553.45,559.5,545.0,547.95,556507.0,2026-01-21 18:30:00,2026-01-21 18:30:00
550.0,556.0,526.7,528.9,650372.0,2026-01-22 18:30:00,2026-01-22 18:30:00
528.9,551.9,516.6,545.15,982682.0,2026-01-26 18:30:00,2026-01-26 18:30:00
550.7,572.3,543.0,569.3,1336161.0,2026-01-27 18:30:00,2026-01-27 18:30:00
572.3,575.0,560.5,570.4,1161743.0,2026-01-28 18:30:00,2026-01-28 18:30:00
563.0,563.9,532.0,542.0,1465740.0,2026-01-29 18:30:00,2026-01-29 18:30:00
